skills,portfolio
"mongodb,express,react,node.js,html,css,docker",https://drive.google.com/file/d/1fA03t0QneN6JtJjfTTVO_tsjxD0ozEo7/view?usp=sharing
"aws,mongodb,node,aws lambda,aws s3 bucket",https://drive.google.com/file/d/1iOHhofBEIN24XhqJLtm2XWKxfida6l90/view?usp=drive_link
